"unit_a_id","unit_a_type","unit_a_title","unit_b_id","unit_b_type","unit_b_title","shared_themes","shared_keywords","shared_sources","title_similarity","score","candidate_type","candidate_reason","status","note","unit_a_file","unit_b_file"
"SOL-agent-handoff","方案单元","""Agent 交接：可执行动作路径""","SOL-agent-loop","方案单元","""Agent 循环：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.86","16","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-handoff_Agent 交接：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-loop_Agent 循环：可执行动作路径.md"
"SOL-agent-handoff","方案单元","""Agent 交接：可执行动作路径""","SOL-agent","方案单元","""AI Agent：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.86","16","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-handoff_Agent 交接：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent_AI Agent：可执行动作路径.md"
"SOL-agent-loop","方案单元","""Agent 循环：可执行动作路径""","SOL-agent","方案单元","""AI Agent：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.86","16","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-loop_Agent 循环：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent_AI Agent：可执行动作路径.md"
"CAS-agent","案例单元","""AI Agent：一个具体场景""","CAS-subagent-orchestration","案例单元","""子 Agent 编排：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.79","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent_AI Agent：一个具体场景.md","02-内容单元库/案例单元/CAS-subagent-orchestration_子 Agent 编排：一个具体场景.md"
"CAS-agent-handoff","案例单元","""Agent 交接：一个具体场景""","CAS-agent-loop","案例单元","""Agent 循环：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.85","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent-handoff_Agent 交接：一个具体场景.md","02-内容单元库/案例单元/CAS-agent-loop_Agent 循环：一个具体场景.md"
"CAS-agent-handoff","案例单元","""Agent 交接：一个具体场景""","CAS-agent","案例单元","""AI Agent：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.85","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent-handoff_Agent 交接：一个具体场景.md","02-内容单元库/案例单元/CAS-agent_AI Agent：一个具体场景.md"
"CAS-agent-handoff","案例单元","""Agent 交接：一个具体场景""","CAS-subagent-orchestration","案例单元","""子 Agent 编排：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.79","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent-handoff_Agent 交接：一个具体场景.md","02-内容单元库/案例单元/CAS-subagent-orchestration_子 Agent 编排：一个具体场景.md"
"CAS-agent-harness","案例单元","""Agent Harness：一个具体场景""","CAS-harness-engineering","案例单元","""Harness 工程：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.80","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent-harness_Agent Harness：一个具体场景.md","02-内容单元库/案例单元/CAS-harness-engineering_Harness 工程：一个具体场景.md"
"CAS-agent-loop","案例单元","""Agent 循环：一个具体场景""","CAS-agent","案例单元","""AI Agent：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.85","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent-loop_Agent 循环：一个具体场景.md","02-内容单元库/案例单元/CAS-agent_AI Agent：一个具体场景.md"
"CAS-agent-loop","案例单元","""Agent 循环：一个具体场景""","CAS-subagent-orchestration","案例单元","""子 Agent 编排：一个具体场景""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.79","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-agent-loop_Agent 循环：一个具体场景.md","02-内容单元库/案例单元/CAS-subagent-orchestration_子 Agent 编排：一个具体场景.md"
