"source_id","source_type","source_title","relation_type","target_id","target_type","target_title","note","source_file","target_file","status"
"CAS-agent","案例单元","""AI Agent：一个具体场景""","解释","CON-agent","概念单元","""AI Agent""","""本案例用来说明「AI Agent」""","02-内容单元库/案例单元/CAS-agent_AI Agent：一个具体场景.md","02-内容单元库/概念单元/CON-agent_AI Agent.md","有效"
"CAS-agent-action-space","案例单元","""Agent 行动空间：一个具体场景""","解释","CON-agent-action-space","概念单元","""Agent 行动空间""","""本案例用来说明「Agent 行动空间」""","02-内容单元库/案例单元/CAS-agent-action-space_Agent 行动空间：一个具体场景.md","02-内容单元库/概念单元/CON-agent-action-space_Agent 行动空间.md","有效"
"CAS-agent-cli-runtime","案例单元","""Agent CLI 运行时：一个具体场景""","解释","CON-agent-cli-runtime","概念单元","""Agent CLI 运行时""","""本案例用来说明「Agent CLI 运行时」""","02-内容单元库/案例单元/CAS-agent-cli-runtime_Agent CLI 运行时：一个具体场景.md","02-内容单元库/概念单元/CON-agent-cli-runtime_Agent CLI 运行时.md","有效"
"CAS-agent-elicitation","案例单元","""Agent 信息引出：一个具体场景""","解释","CON-agent-elicitation","概念单元","""Agent 信息引出""","""本案例用来说明「Agent 信息引出」""","02-内容单元库/案例单元/CAS-agent-elicitation_Agent 信息引出：一个具体场景.md","02-内容单元库/概念单元/CON-agent-elicitation_Agent 信息引出.md","有效"
"CAS-agent-handoff","案例单元","""Agent 交接：一个具体场景""","解释","CON-agent-handoff","概念单元","""Agent 交接""","""本案例用来说明「Agent 交接」""","02-内容单元库/案例单元/CAS-agent-handoff_Agent 交接：一个具体场景.md","02-内容单元库/概念单元/CON-agent-handoff_Agent 交接.md","有效"
"CAS-agent-harness","案例单元","""Agent Harness：一个具体场景""","解释","CON-agent-harness","概念单元","""Agent Harness""","""本案例用来说明「Agent Harness」""","02-内容单元库/案例单元/CAS-agent-harness_Agent Harness：一个具体场景.md","02-内容单元库/概念单元/CON-agent-harness_Agent Harness.md","有效"
"CAS-agent-lifecycle","案例单元","""Agent 生命周期：一个具体场景""","解释","CON-agent-lifecycle","概念单元","""Agent 生命周期""","""本案例用来说明「Agent 生命周期」""","02-内容单元库/案例单元/CAS-agent-lifecycle_Agent 生命周期：一个具体场景.md","02-内容单元库/概念单元/CON-agent-lifecycle_Agent 生命周期.md","有效"
"CAS-agent-loop","案例单元","""Agent 循环：一个具体场景""","解释","CON-agent-loop","概念单元","""Agent 循环""","""本案例用来说明「Agent 循环」""","02-内容单元库/案例单元/CAS-agent-loop_Agent 循环：一个具体场景.md","02-内容单元库/概念单元/CON-agent-loop_Agent 循环.md","有效"
"CAS-agent-session-management","案例单元","""Agent 会话管理：一个具体场景""","解释","CON-agent-session-management","概念单元","""Agent 会话管理""","""本案例用来说明「Agent 会话管理」""","02-内容单元库/案例单元/CAS-agent-session-management_Agent 会话管理：一个具体场景.md","02-内容单元库/概念单元/CON-agent-session-management_Agent 会话管理.md","有效"
"CAS-agent-stop-conditions","案例单元","""Agent 终止条件：一个具体场景""","解释","CON-agent-stop-conditions","概念单元","""Agent 终止条件""","""本案例用来说明「Agent 终止条件」""","02-内容单元库/案例单元/CAS-agent-stop-conditions_Agent 终止条件：一个具体场景.md","02-内容单元库/概念单元/CON-agent-stop-conditions_Agent 终止条件.md","有效"
"CAS-agent-tool-contract","案例单元","""Agent 工具契约：一个具体场景""","解释","CON-agent-tool-contract","概念单元","""Agent 工具契约""","""本案例用来说明「Agent 工具契约」""","02-内容单元库/案例单元/CAS-agent-tool-contract_Agent 工具契约：一个具体场景.md","02-内容单元库/概念单元/CON-agent-tool-contract_Agent 工具契约.md","有效"
"CAS-attention-budget","案例单元","""注意力预算：一个具体场景""","解释","CON-attention-budget","概念单元","""注意力预算""","""本案例用来说明「注意力预算」""","02-内容单元库/案例单元/CAS-attention-budget_注意力预算：一个具体场景.md","02-内容单元库/概念单元/CON-attention-budget_注意力预算.md","有效"
"CAS-bounded-context","案例单元","""限界上下文：一个具体场景""","解释","CON-bounded-context","概念单元","""限界上下文""","""本案例用来说明「限界上下文」""","02-内容单元库/案例单元/CAS-bounded-context_限界上下文：一个具体场景.md","02-内容单元库/概念单元/CON-bounded-context_限界上下文.md","有效"
"CAS-browsing-loop","案例单元","""浏览循环：一个具体场景""","解释","CON-browsing-loop","概念单元","""浏览循环""","""本案例用来说明「浏览循环」""","02-内容单元库/案例单元/CAS-browsing-loop_浏览循环：一个具体场景.md","02-内容单元库/概念单元/CON-browsing-loop_浏览循环.md","有效"
"CAS-change-impact-analysis","案例单元","""变更影响分析：一个具体场景""","解释","CON-change-impact-analysis","概念单元","""变更影响分析""","""本案例用来说明「变更影响分析」""","02-内容单元库/案例单元/CAS-change-impact-analysis_变更影响分析：一个具体场景.md","02-内容单元库/概念单元/CON-change-impact-analysis_变更影响分析.md","有效"
"CAS-chat-template","案例单元","""聊天模板：一个具体场景""","解释","CON-chat-template","概念单元","""聊天模板""","""本案例用来说明「聊天模板」""","02-内容单元库/案例单元/CAS-chat-template_聊天模板：一个具体场景.md","02-内容单元库/概念单元/CON-chat-template_聊天模板.md","有效"
"CAS-code-execution","案例单元","""代码执行：一个具体场景""","解释","CON-code-execution","概念单元","""代码执行""","""本案例用来说明「代码执行」""","02-内容单元库/案例单元/CAS-code-execution_代码执行：一个具体场景.md","02-内容单元库/概念单元/CON-code-execution_代码执行.md","有效"
"CAS-context","案例单元","""上下文：一个具体场景""","解释","CON-context","概念单元","""上下文""","""本案例用来说明「上下文」""","02-内容单元库/案例单元/CAS-context_上下文：一个具体场景.md","02-内容单元库/概念单元/CON-context_上下文.md","有效"
"CAS-context-compaction","案例单元","""上下文压缩：一个具体场景""","解释","CON-context-compaction","概念单元","""上下文压缩""","""本案例用来说明「上下文压缩」""","02-内容单元库/案例单元/CAS-context-compaction_上下文压缩：一个具体场景.md","02-内容单元库/概念单元/CON-context-compaction_上下文压缩.md","有效"
